TID,Items
1,"Croissant, Carrot, Ketchup, Wheat, Coffee, Milk"
2,"Mayonnaise, Soap, Oil, Carrot, Pineapple, Dal"
3,"Rice, Turmeric, Spices, Beer"
4,"Eggs, Cleaner, Onion, Detergent, Pineapple"
5,"Oil, Pasta, Mango"
6,"Honey, Detergent, Vinegar"
7,"Orange, Butter, Bread, Carrot, Salt, Turmeric, Milk"
8,"Pomegranate, Tomato, Dal"
9,"Kiwi, Butter, Bread, Milk, Dal, Spinach"
10,"Mayonnaise, Shampoo, Tomato, Diaper, Spices, Potato, Beer"
11,"Coffee, Ginger"
12,"Croissant, Yogurt, Paneer"
13,"Chocolates, Pasta"
14,"Tomato, Paneer, Butter, Spices, Noodles"
15,"Ice Cream, Bread, Potato, Mango, Wheat"
16,"Butter, Capsicum, Broccoli, Bread, Pomegranate, Milk"
17,"Ice Cream, Tea, Tomato, Soap, Milk, Onion, Potato, Cheese, Garlic"
18,"Grapes, Sugar, Banana, Spinach"
19,"Juice, Watermelon, Cleaner"
20,"Ice Cream, Cheese"
21,"Mayonnaise, Tomato, Butter, Soap, Onion, Salt, Potato, Coffee"
22,"Cheese, Apple"
23,"Noodles, Honey, Banana"
24,"Grapes, Sugar, Spinach"
25,"Chips, Cleaner, Ketchup, Spices"
26,"Kiwi, Butter, Bread, Pomegranate, Carrot, Potato, Juice, Milk, Spinach"
27,"Chips, Butter, Ketchup, Beer"
28,"Detergent, Toothpaste"
29,"Shampoo, Capsicum, Diaper, Pomegranate, Cheese"
30,"Detergent, Onion, Salt, Noodles"
31,"Orange, Broccoli, Diaper, Toothpaste, Dal, Spinach"
32,"Rice, Toothpaste"
33,"Chips, Bread, Biscuits, Toothpaste, Dal"
34,"Ice Cream, Chips, Watermelon, Tomato, Apple, Carrot, Onion, Toothpaste, Potato"
35,"Tea, Ginger, Biscuits, Turmeric, Vinegar"
36,"Butter, Orange, Eggs, Bread, Milk"
37,"Chips, Broccoli, Bread, Onion, Cheese, Coffee"
38,"Croissant, Shampoo, Spices, Rice, Salt"
39,"Ice Cream, Tea, Pasta, Oil, Banana, Turmeric"
40,"Butter, Capsicum, Pasta, Oil, Grapes, Bread, Detergent, Milk"
41,"Carrot, Salt, Mango, Cheese, Coffee, Vinegar"
42,"Broccoli, Bread"
43,"Kiwi, Tea, Spices, Pomegranate, Spinach"
44,"Rice, Chocolates, Tea, Spinach"
45,"Croissant, Tomato, Yogurt, Onion, Potato, Banana, Papaya"
46,"Kiwi, Paneer, Eggs, Yogurt, Juice, Vinegar"
47,"Milk, Biscuits"
48,"Chips, Honey, Rice, Spinach, Beer, Vinegar"
49,"Chips, Tomato, Broccoli, Beer, Garlic, Spinach"
50,"Chips, Tomato, Apple, Cabbage, Onion, Potato, Beer"
51,"Croissant, Watermelon, Butter, Bread, Onion, Wheat, Milk"
52,"Cleaner, Biscuits, Rice, Detergent, Papaya, Ginger"
53,"Chips, Salt, Detergent, Potato, Beer, Pineapple"
54,"Kiwi, Cabbage, Soap"
55,"Mayonnaise, Onion"
56,"Chips, Soap, Milk, Salt, Toothpaste, Garlic"
57,"Cheese, Shampoo, Pineapple, Chocolates"
